cycle,packet_type,block_index,sub_block_idx,segment_idx,last
317,0x80,0,0,0,false
318,0x80,0,0,1,false
319,0x80,0,0,2,false
320,0x80,0,0,3,false
322,0x80,0,0,4,true
324,0x80,0,1,0,false
325,0x80,0,1,1,false
326,0x80,0,1,2,false
327,0x80,0,1,3,false
329,0x80,0,1,4,true
331,0x80,0,2,0,false
332,0x80,0,2,1,false
333,0x80,0,2,2,false
334,0x80,0,2,3,false
336,0x80,0,2,4,true
338,0x80,0,3,0,false
339,0x80,0,3,1,false
340,0x80,0,3,2,false
341,0x80,0,3,3,false
343,0x80,0,3,4,true
345,0x80,1,0,0,false
346,0x80,1,0,1,false
347,0x80,1,0,2,false
348,0x80,1,0,3,false
350,0x80,1,0,4,true
352,0x80,2,0,0,false
353,0x80,2,0,1,false
354,0x80,2,0,2,false
355,0x80,2,0,3,false
357,0x80,2,0,4,true
359,0x80,2,1,0,false
360,0x80,2,1,1,false
361,0x80,2,1,2,false
362,0x80,2,1,3,false
364,0x80,2,1,4,true
366,0x80,2,2,0,false
367,0x80,2,2,1,false
368,0x80,2,2,2,false
369,0x80,2,2,3,false
371,0x80,2,2,4,true
373,0x80,2,3,0,false
374,0x80,2,3,1,false
375,0x80,2,3,2,false
376,0x80,2,3,3,false
378,0x80,2,3,4,true
380,0x80,3,0,0,false
381,0x80,3,0,1,false
382,0x80,3,0,2,false
383,0x80,3,0,3,false
385,0x80,3,0,4,true
387,0x80,3,1,0,false
388,0x80,3,1,1,false
389,0x80,3,1,2,false
390,0x80,3,1,3,false
392,0x80,3,1,4,true
394,0x80,3,2,0,false
395,0x80,3,2,1,false
396,0x80,3,2,2,false
397,0x80,3,2,3,false
399,0x80,3,2,4,true
401,0x80,3,3,0,false
402,0x80,3,3,1,false
403,0x80,3,3,2,false
404,0x80,3,3,3,false
406,0x80,3,3,4,true
408,0x80,4,0,0,false
409,0x80,4,0,1,false
410,0x80,4,0,2,false
411,0x80,4,0,3,false
413,0x80,4,0,4,true
415,0x80,4,1,0,false
416,0x80,4,1,1,false
417,0x80,4,1,2,false
418,0x80,4,1,3,false
420,0x80,4,1,4,true
422,0x80,4,2,0,false
423,0x80,4,2,1,false
424,0x80,4,2,2,false
425,0x80,4,2,3,false
427,0x80,4,2,4,true
429,0x80,4,3,0,false
430,0x80,4,3,1,false
431,0x80,4,3,2,false
432,0x80,4,3,3,false
434,0x80,4,3,4,true
436,0x80,5,0,0,false
437,0x80,5,0,1,false
438,0x80,5,0,2,false
439,0x80,5,0,3,false
441,0x80,5,0,4,true
443,0x80,6,0,0,false
444,0x80,6,0,1,false
445,0x80,6,0,2,false
