model_key,scale_extra_ebw,mask_ebw,total_ebw
llama2_7b,0.0725,0.0625,4.6350
llama2_13b,0.0672,0.0625,4.6297
llama3_1_8b,0.0820,0.0625,4.6445
llama3_2_1b,0.0893,0.0625,4.6518
llama3_2_3b,0.0872,0.0625,4.6497
llama3_3_70b,0.0584,0.0625,4.6209
qwen2_5_0_5b,0.1382,0.0625,4.7007
qwen2_5_1_5b,0.0975,0.0625,4.6600
qwen2_5_3b,0.0493,0.0625,4.6118
qwen2_5_72b,0.2407,0.0625,4.8032
qwen3_0_6b,0.1215,0.0625,4.6840
qwen3_4b,0.0783,0.0625,4.6408
qwen3_8b,0.0846,0.0625,4.6471
qwen3_14b,0.0844,0.0625,4.6469
qwen3_30b_a3b,0.1996,0.0625,4.7621
qwen3_next_80b_a3b,0.1949,0.0625,4.7574
qwen3_vl_235b_a22b,0.2181,0.0625,4.7806
deepseek_v2_lite,0.1327,0.0625,4.6952
mixtral_8x7b,0.0758,0.0625,4.6383
average,0.1143,0.0625,4.6768
