block_index,path,weight_mask,activation_mask,sub_block_indices,matrix_scale_pairs,matrix_matches,scale_matches,output_packets,first_output_cycle,last_output_cycle,status
0,refined,1,1,"[0,1,2,3]",4,4/4,4/4,20,317,343,PASS
1,regular,0,0,"[0]",1,1/1,1/1,5,345,350,PASS
2,refined,1,0,"[0,1,2,3]",4,4/4,4/4,20,352,378,PASS
3,refined,0,1,"[0,1,2,3]",4,4/4,4/4,20,380,406,PASS
4,refined,1,0,"[0,1,2,3]",4,4/4,4/4,20,408,434,PASS
5,regular,0,0,"[0]",1,1/1,1/1,5,436,441,PASS
6,refined,1,1,"[0,1,2,3]",4,4/4,4/4,20,443,469,PASS
7,regular,0,0,"[0]",1,1/1,1/1,5,471,476,PASS
8,refined,1,0,"[0,1,2,3]",4,4/4,4/4,20,478,504,PASS
9,refined,0,1,"[0,1,2,3]",4,4/4,4/4,20,506,532,PASS
10,refined,1,0,"[0,1,2,3]",4,4/4,4/4,20,534,560,PASS
11,regular,0,0,"[0]",1,1/1,1/1,5,562,567,PASS
12,refined,1,1,"[0,1,2,3]",4,4/4,4/4,20,569,595,PASS
13,regular,0,0,"[0]",1,1/1,1/1,5,597,602,PASS
14,refined,1,1,"[0,1,2,3]",4,4/4,4/4,20,604,630,PASS
15,refined,1,1,"[0,1,2,3]",4,4/4,4/4,20,632,658,PASS
TOTAL,all,-,-,-,49,49/49,49/49,245,317,658,PASS
